,Group1,res,method,operation,output,label,pattern,Group2,Group3,analysis,name,dec,rnd,disp
3449,Xanomeline High Dose,-28,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,PULSE,Week 16,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-28,-28
3450,Xanomeline High Dose,-20,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,PULSE,Week 2,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-20,-20
3451,Xanomeline High Dose,-28,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,PULSE,Week 20,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-28,-28
3452,Xanomeline High Dose,-40,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,PULSE,Week 24,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-40,-40
3453,Xanomeline High Dose,-32,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,PULSE,Week 26,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-32,-32
3454,Xanomeline High Dose,-24,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,PULSE,Week 4,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-24,-24
3455,Xanomeline High Dose,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,PULSE,Week 6,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3456,Xanomeline High Dose,-20,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,PULSE,Week 8,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-20,-20
3457,Xanomeline High Dose,0,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Baseline,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3458,Xanomeline High Dose,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,End of Treatment,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3459,Xanomeline High Dose,-52,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Week 12,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-52,-52
3460,Xanomeline High Dose,-52,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Week 16,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-52,-52
3461,Xanomeline High Dose,-52,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Week 2,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-52,-52
3462,Xanomeline High Dose,-82,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Week 20,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-82,-82
3463,Xanomeline High Dose,-40,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Week 24,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-40,-40
3464,Xanomeline High Dose,-62,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Week 26,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-62,-62
3465,Xanomeline High Dose,-52,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Week 4,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-52,-52
3466,Xanomeline High Dose,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Week 6,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3467,Xanomeline High Dose,-43,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,SYSBP,Week 8,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-43,-43
3468,Xanomeline High Dose,0,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Baseline,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3469,Xanomeline High Dose,-1,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,End of Treatment,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-1,-1
3470,Xanomeline High Dose,-0.61,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Week 12,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-1,-1
3471,Xanomeline High Dose,-0.78,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Week 16,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-1,-1
3472,Xanomeline High Dose,-1.39,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Week 2,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-1,-1
3473,Xanomeline High Dose,-0.56,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Week 20,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-1,-1
3474,Xanomeline High Dose,-0.94,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Week 24,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-1,-1
3475,Xanomeline High Dose,-0.44,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Week 26,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3476,Xanomeline High Dose,-1,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Week 4,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-1,-1
3477,Xanomeline High Dose,-1.06,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Week 6,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-1,-1
3478,Xanomeline High Dose,-0.66,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,TEMP,Week 8,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-1,-1
3479,Xanomeline High Dose,0,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Baseline,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3480,Xanomeline High Dose,-5.9,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,End of Treatment,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-6,-6
3481,Xanomeline High Dose,-5.45,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Week 12,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-5,-5
3482,Xanomeline High Dose,-3.18,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Week 16,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-3,-3
3483,Xanomeline High Dose,-5.45,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Week 2,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-5,-5
3484,Xanomeline High Dose,-3.62,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Week 20,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-4,-4
3485,Xanomeline High Dose,-4.53,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Week 24,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-5,-5
3486,Xanomeline High Dose,-5.9,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Week 26,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-6,-6
3487,Xanomeline High Dose,-2.27,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Week 4,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-2,-2
3488,Xanomeline High Dose,-5.44,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Week 6,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-5,-5
3489,Xanomeline High Dose,-4.54,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_7_Min,Out14-3-3-1a,Min,XX,WEIGHT,Week 8,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,-5,-5
3490,Placebo,0,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Baseline,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3491,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,End of Treatment,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3492,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Week 12,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3493,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Week 16,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3494,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Week 2,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3495,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Week 20,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3496,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Week 24,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3497,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Week 26,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3498,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Week 4,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3499,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Week 6,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3500,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Week 8,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3501,Placebo,0,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Baseline,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3502,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,End of Treatment,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3503,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Week 12,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3504,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Week 16,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3505,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Week 2,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3506,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Week 20,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3507,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Week 24,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3508,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Week 26,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3509,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Week 4,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3510,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Week 6,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3511,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,PULSE,Week 8,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3512,Placebo,0,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Baseline,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3513,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,End of Treatment,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3514,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Week 12,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3515,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Week 16,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3516,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Week 2,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3517,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Week 20,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3518,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Week 24,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3519,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Week 26,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3520,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Week 4,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3521,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Week 6,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3522,Placebo,NA,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,SYSBP,Week 8,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,NA,NA
3523,Placebo,0,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Baseline,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3524,Placebo,1.34,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,End of Treatment,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3525,Placebo,1.22,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Week 12,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3526,Placebo,1.33,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Week 16,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3527,Placebo,1.11,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Week 2,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3528,Placebo,1.28,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Week 20,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3529,Placebo,1.22,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Week 24,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3530,Placebo,1.34,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Week 26,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3531,Placebo,0.89,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Week 4,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3532,Placebo,1.06,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Week 6,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3533,Placebo,1,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,TEMP,Week 8,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,1,1
3534,Placebo,0,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Baseline,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3535,Placebo,4.99,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,End of Treatment,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,5,5
3536,Placebo,11.34,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Week 12,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,11,11
3537,Placebo,11.34,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Week 16,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,11,11
3538,Placebo,2.72,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Week 2,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,3,3
3539,Placebo,6.35,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Week 20,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,6,6
3540,Placebo,8.17,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Week 24,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,8,8
3541,Placebo,4.99,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Week 26,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,5,5
3542,Placebo,4.54,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Week 4,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,5,5
3543,Placebo,4.08,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Week 6,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,4,4
3544,Placebo,4.54,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,WEIGHT,Week 8,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,5,5
3545,Xanomeline High Dose,0,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,Baseline,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,0,0
3546,Xanomeline High Dose,22,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_8_Max,Out14-3-3-1a,Max,XX,DIABP,End of Treatment,An08_02_ChgBl_Summ_ByTrt,"Summary of Change from Baseline by Treatment, Parameter and Visit",0,22,22
